orthographe	phonetique
A7	asEt
ABB	abebe
ABCD	abesede
ABM	abeEm
ABS	abeEs
ACCT	asesete
ADN	adeEn
AELE	a@El9
AFP	aEfpe
AGEFI	aZefi
ALENA	alena
ANPE	aEnpe9
AOC	aose
ASCII	aski
ASP	aEspe
ATT	atete
AVS	aveEs
Abidjan	abidZA
Académie	akademi
Académies	akademi
Acropole	akROpOl
Adam	adA
Addis-Abeba	adisabeba
Adriatique	adRijatik
Afghanistan	afganistA
Africain	afRike~
Africains	afRike~
Afrique	afRik
Agence	aZAs
Agences	aZAs
Agnès	anjEs
Airbus	ERbys
Ajaccio	aZaksjo
Alabama	alabama
Alain	ale~
Alaska	alaska
Albanie	albani
Albert	albER
Alberta	albERta
Albertville	albERvil
Alcatel	alkatEl
Alcron	alkRC
Alexandrie	alEksAdRi
Alexie	alEksi
Alger	alZe
Algérie	alZeRi
Algérien	alZeRje~
Algérienne	alZeRjEn
Algériennes	alZeRjEn
Algériens	alZeRje~
Alicante	alikAt
Aline	alin
Allah	ala
Allard	alaR
Allemagne	al@manj
Allemagnes	al@manj
Allemand	al@mA
Allemande	al@mAd
Allemandes	al@mAd
Allemands	al@mA
Allégret	alegRE
Alpes	alp
Alsace	alzas
Alsacien	alzasje~
Alsacienne	alzasjEn
Alsaciennes	alzasjEn
Alsaciens	alzasje~
Altesse	altEs
Altesses	altEs
Alzheimer	alzajm9R
Amadeus	amadeys
Amazone	amazon
Amazonie	amazOni
Amsterdam	amstERdam
Amélie	ameli
Américain	ameRike~
Américaine	ameRikEn
Américaines	ameRikEn
Américains	ameRike~
Amérindien	ameRe~dje~
Amérindiens	ameRe~dje~
Amérique	ameRik
Amériques	ameRik
Anatolie	anatOli
Ancône	Akon
Andes	Ad
Andorran	AdORA
Andorrans	AdORA
Andorre	AdOR
André	andRe
Angers	AZe
Anglais	AglE
Anglaise	AglEz
Anglaises	AglEz
Angleterre	Agl@tER
Angola	AgOla
Angolais	AgOlE
Angolaise	AgOlEz
Angolaises	AgOlEz
Ankara	AkaRa
Annapurna	anapuRna
Annaud	ano
Anne	an
Annemasse	an@mas
Antarctique	AtaRktik
Antilles	Atij
Antoine	Atwan
Anvers	AvER
Apollon	apOlC
Aquitaine	akitEn
Arabe	aRab
Arabes	aRab
Arabie	aRabi
Aragon	aRagC
Arctique	aRtik
Argentine	aRZAtin
Arizona	aRizOna
Arkansas	aRkAsas
Arménie	aRmeni
Arménien	aRmenje~
Arméniens	aRmenje~
Asiatique	asjatik
Asiatiques	asjatik
Asie	azi
Assemblée	asAble
Assemblées	asAble
Association	asosjasjC
Associations	asosjasjC
Assurance	asyRAs
Assurances	asyRAs
Atchoum	atSum
Athènes	atEn
Atlanta	atlAta
Atlantique	atlAtik
Atlas	atlas
Aurillac	oRijak
Australie	ostRali
Australien	ostRalje~
Australienne	ostRaljEn
